title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Par,Gloria Ortiz-Hernández,(Colombian),2000,Pencil on paper,Drawing,Drawings & Prints,90715,https://www.moma.org/collection/works/90715,https://www.moma.org/media/W1siZiIsIjI4NjMyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=241e914eec6e4e56
MIROKU-Maitreya,Masaki Fujihata,(Japanese),1984,"Video (color, sound)",Video,Media and Performance,107458,https://www.moma.org/collection/works/107458,https://www.moma.org/media/W1siZiIsIjI1NTA1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7dd7629113fec266
"Robert H. McCormick House, Elmhurst, IL (Steel brackets. Elevations, sections.)",Ludwig Mies van der Rohe,(American),1951—1952,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,462880,정보없음,정보없음
"Page from Sketchbook #61, New York City",Ellsworth Kelly,(American),1968-69,"Page from a spiral-bound sketchbook with pencil, ink, ballpoint pen, felt-tip pen, and colored ink on paper",Notebook,Drawings & Prints,441385,정보없음,정보없음
"Untitled, from Easton Portraits",Judith Joy Ross,(American),1988,Gelatin silver printing-out-paper print,Photograph,Photography,49105,https://www.moma.org/collection/works/49105,https://www.moma.org/media/W1siZiIsIjUyNzA4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a99fd4b5b6de1603
"Commonwealth Promenade Apartment Buildings, Chicago, IL (Building 1. Machinery floor and penthouse. Roof framing plan.)",Ludwig Mies van der Rohe,(American),1953—1956,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,463666,정보없음,정보없음
Poison Gas Exhibition,Frederick H. K. Henrion,(British),1939-45,Lithograph,Design,Architecture & Design,5857,https://www.moma.org/collection/works/5857,https://www.moma.org/media/W1siZiIsIjUxNzQ3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6d9c519c3199faf8
Storage Boxes with Covers,Unidentified Designer,(American),Unknown,Clear plastic,Design,Architecture & Design,4336,정보없음,정보없음
"Casa Pollini, Siena, by Peruzzi",Paolo Lombardi,(Italian),c. 1880,Albumen silver print,Photograph,Photography,52891,https://www.moma.org/collection/works/52891,https://www.moma.org/media/W1siZiIsIjIwNzYyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d990d78ab8a82b43
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany (Reinforcing structure of mirror walls. Plan, sections.)",Ludwig Mies van der Rohe,(American),1931,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,481763,정보없음,정보없음
Carna Folding Wheelchair,Kazuo Kawasaki,(Japanese),1989,"Titanium, rubber, and aluminum honeycomb",Design,Architecture & Design,1512,https://www.moma.org/collection/works/1512,https://www.moma.org/media/W1siZiIsIjIxMDAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b7076d407aab09b
Villa d'un chiffonier,Eugène Atget,(French),1912,Albumen silver print,Photograph,Photography,43856,https://www.moma.org/collection/works/43856,https://www.moma.org/media/W1siZiIsIjEzODc2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6c2f578bfa2182d5
"Untitled from E. G., B.....",Jesse Reichek,(American),1966,One from a series of six lithographs,Print,Drawings & Prints,77806,https://www.moma.org/collection/works/77806,정보없음
"45°, 90°, 180°",Michael Heizer,(American),1983,"Etching, lithograph, screenprint and rubber stamp",Print,Drawings & Prints,59958,https://www.moma.org/collection/works/59958,정보없음
"Invitation to Moi aussi, je me suis demandé si je ne pouvais pas vendre quelque chose et réussir dans la vie..., Galerie Saint Laurent, April 10–25, 1964",Marcel Broodthaers,(Belgian),1964,Letterpress on magazine page,Print,Drawings & Prints,167018,https://www.moma.org/collection/works/167018,https://www.moma.org/media/W1siZiIsIjI3NjQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=891bc4b3764f4dab
Figure of Eight Chair,Ross Lovegrove,(British),1993,"Polyurethane, stainless steel, and nylon",Design,Architecture & Design,1529,https://www.moma.org/collection/works/1529,https://www.moma.org/media/W1siZiIsIjIyNjUwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d162ba886a56d7b6
Fluxfilm No. 14: Match and Fluxfilm No. 18: Smoking,"Yoko Ono, Joe Jones",(American) (American),1966,DVD,Video,Fluxus Collection,130521,정보없음,정보없음
Mexico City 1968 Olympics Bulletins no. 6,"Lance Wyman, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad, Beatrice Trueblood, Eduardo Terrazas, Huberto Batis",(American) () (British) (Mexican) (Mexican),1968,Lithograph,Design,Architecture & Design,182366,정보없음,정보없음
"Johnson Wax Administration Building, Racine, Wisconsin (Aerial perspective)",Frank Lloyd Wright,(American),1936–1939,"Ink, ink wash, pencil, and colored pencil on paper",Frank Lloyd Wright Archive,Architecture & Design,216156,정보없음,정보없음
Untitled (6 January 1972),Robert Overby,(American),1972,Gouache and pencil on paper,Drawing,Drawings & Prints,38525,https://www.moma.org/collection/works/38525,https://www.moma.org/media/W1siZiIsIjI4NzcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da6ec1da49b9e8e1
Kheruvimy svistiat (The Cherubims Are Whistling),Igor' Terent'ev,(Russian),1919,Book with letterpress typographic design and illustration,Illustrated Book,Drawings & Prints,11652,https://www.moma.org/collection/works/11652,https://www.moma.org/media/W1siZiIsIjUzMDEyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=35835bb0214cacfc
Untitled,Francis Alÿs,(Belgian),2002,Color photograph,Photograph,Media and Performance,134915,https://www.moma.org/collection/works/134915,https://www.moma.org/media/W1siZiIsIjE5ODU4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b098cb23239958fe
